product_category_name,revenue,items_sold,revenue_share
beleza_saude,1258681.34,9670,9.384664219706629
relogios_presentes,1205005.68,5991,8.984461221645864
cama_mesa_banho,1036988.68,11115,7.731734992938567
esporte_lazer,988048.97,8641,7.3668429978289725
informatica_acessorios,911954.32,7827,6.79948514761559
moveis_decoracao,729762.49,8334,5.4410721054997255
cool_stuff,635290.85,3796,4.736696350088109
utilidades_domesticas,632248.66,6964,4.714013935774611
automotivo,592720.11,4235,4.419291072208615
ferramentas_jardim,485256.46,4347,3.618047549305451
brinquedos,483946.6,4117,3.6082812995930134
bebes,411764.89,3065,3.0700981315210694
perfumaria,399124.87,3419,2.9758547836135074
telefonia,323667.52999999997,4545,2.4132486844301844
moveis_escritorio,273960.7,1691,2.0426370815156294
papelaria,230943.23,2517,1.721901007418191
pcs,222963.13,203,1.6624017866387035
pet_shop,214315.41,1947,1.5979248250067457
instrumentos_musicais,191498.88,680,1.4278059347808343
eletroportateis,190648.58,679,1.421466141115492
eletronicos,160246.74,2767,1.1947915643228895
consoles_games,157465.22,1137,1.1740526923059276
fashion_bolsas_e_acessorios,152823.54,2031,1.1394445616925606
construcao_ferramentas_construcao,144677.59,929,1.0787087717264368
malas_acessorios,140429.98,1092,1.0470388070423906
eletrodomesticos_2,113317.74,238,0.844891320972486
casa_construcao,83088.12,604,0.6195008077633777
eletrodomesticos,80171.53,771,0.5977548606783482
agro_industria_e_comercio,72530.47,212,0.5407835049397849
moveis_sala,68916.56,503,0.5138383753089285
telefonia_fixa,59583.0,264,0.4442478254287777
casa_conforto,58572.04,434,0.4367101589535167
climatizacao,55024.96,297,0.41026331041245784
audio,50688.5,364,0.37793088463566116
portateis_casa_forno_e_cafe,47445.71,76,0.3537528068983504
livros_interesse_geral,46856.88,553,0.34936252028896136
moveis_cozinha_area_de_servico_jantar_e_jardim,46328.37,281,0.3454219765396141
construcao_ferramentas_iluminacao,41080.0,304,0.30629039606287345
construcao_ferramentas_seguranca,40544.52,194,0.30229788434710547
industria_comercio_e_negocios,39669.61,268,0.2957745997701978
alimentos,29393.41,510,0.2191557738689977
market_place,28378.47,311,0.21158843271563713
construcao_ferramentas_jardim,25715.89,238,0.19173637130499724
artes,24202.64,209,0.180453656070281
fashion_calcados,23562.77,262,0.1756828178100875
bebidas,22428.7,379,0.16722724942004308
sinalizacao_e_seguranca,21509.23,199,0.16037172774360856
moveis_quarto,20028.78,109,0.14933356764498926
livros_tecnicos,19096.06,267,0.14237925464071072
construcao_ferramentas_ferramentas,15903.95,103,0.11857904441246682
alimentos_bebidas,15179.48,278,0.11317743284392566
fashion_roupa_masculina,10797.82,132,0.08050799816006857
fashion_underwear_e_moda_praia,9541.55,131,0.07114131276907765
artigos_de_natal,8800.82,153,0.06561846746538602
tablets_impressao_imagem,7528.41,83,0.05613144305315718
cine_foto,6933.46,72,0.05169552603422811
musica,6034.35,38,0.044991807484956195
dvds_blu_ray,5999.39,64,0.04473114749843336
livros_importados,4639.85,60,0.03459448622620067
artigos_de_festas,4485.18,43,0.033441274552416723
moveis_colchao_e_estofado,4368.08,38,0.03256818289275357
portateis_cozinha_e_preparadores_de_alimentos,3968.5299999999997,15,0.02958915836142637
fashion_roupa_feminina,2803.64,48,0.020903797614842127
fashion_esporte,2119.51,30,0.01580295903990314
la_cuisine,2054.99,14,0.015321901192922208
artes_e_artesanato,1814.01,24,0.013525166537536833
fraldas_higiene,1567.59,39,0.011687871518115867
pc_gamer,1545.95,9,0.011526524775886058
flores,1110.04,33,0.008276401929056282
casa_conforto_2,760.27,30,0.005668534552451821
cds_dvds_musicais,730.0,14,0.00544284296801114
fashion_roupa_infanto_juvenil,569.85,8,0.004248772692220751
seguros_e_servicos,283.28999999999996,2,0.002112195869051884
