month,orders,revenue,aov
2016-09,3,267.36,89.12
2016-10,308,49507.66,160.73915584415585
2016-12,1,10.9,10.9
2017-01,789,120312.87,152.4877946768061
2017-02,1733,247303.02,142.70226197345642
2017-03,2641,374344.3,141.74339265429762
2017-04,2391,359927.23,150.53418235048096
2017-05,3660,506071.14,138.27080327868853
2017-06,3217,433038.6,134.6094497979484
2017-07,3969,498031.48,125.48034265558074
2017-08,4293,573971.68,133.69943629163757
2017-09,4243,624401.6900000001,147.1604265849635
2017-10,4568,664219.43,145.40705560420315
2017-11,7451,1010271.37,135.58869547711717
2017-12,5624,743914.17,132.27492354196303
2018-01,7220,950030.36,131.58315235457064
2018-02,6694,844178.71,126.10975649835673
2018-03,7188,983213.4400000001,136.78539788536452
2018-04,6934,996647.75,143.73345111047016
2018-05,6853,996517.68,145.41334889829272
2018-06,6160,865124.31,140.44225811688312
2018-07,6273,895507.22,142.75581380519688
2018-08,6452,854686.33,132.46843304401736
2018-09,1,145.0,145.0
